,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,Exited,Salario
0,1,15634602,Hargrave,619.0,France,Female,42,2,,1,1,1,1,198344.0
1,2,15647311,Hill,608.0,Spain,Female,41,1,83807.86,1,0,1,0,177732.0
2,3,15619304,Onio,502.0,France,Female,42,8,159660.8,3,1,0,1,269219.0
3,4,15701354,Boni,699.0,France,Female,39,1,,2,0,0,0,258909.0
4,5,15737888,Mitchell,850.0,Spain,Female,43,2,125510.82,1,1,1,0,122155.0
5,6,15574012,Chu,645.0,Spain,Male,0,8,113755.78,2,1,0,1,175215.0
6,7,15592531,Bartlett,822.0,France,Male,50,7,,2,1,1,0,264766.0
7,8,15656148,Obinna,,Germany,Female,29,4,115046.74,4,1,0,1,245937.0
8,9,15792365,He,501.0,France,Male,44,4,142051.07,2,0,1,0,227032.0
9,10,15592389,H?,,France,Male,27,2,134603.88,1,1,1,0,284923.0
10,11,15767821,Bearce,,France,Male,31,6,102016.72,2,0,0,0,167101.0
11,12,15737173,Andrews,497.0,Spain,Male,24,3,,2,1,0,0,215872.0
12,13,15632264,Kay,476.0,France,Female,34,10,,2,1,0,0,279883.0
13,14,15691483,Chin,549.0,France,Female,0,5,,2,0,0,0,212749.0
14,15,15600882,Scott,635.0,Spain,Female,0,7,,2,1,1,0,268065.0
15,16,15643966,Goforth,616.0,Germany,Male,45,3,143129.41,2,0,1,0,184170.0
16,17,15737452,Romeo,653.0,Germany,Male,58,1,132602.88,1,1,0,1,202710.0
17,18,15788218,Henderson,549.0,Spain,Female,24,9,,2,1,1,0,147595.0
18,19,15661507,Muldrow,587.0,Spain,Male,45,6,,1,0,0,0,131784.0
19,20,15568982,Hao,726.0,France,Female,24,6,,2,1,1,0,222718.0
20,21,15577657,McDonald,732.0,France,Male,41,8,,2,1,1,0,275971.0
21,22,15597945,Dellucci,636.0,Spain,Female,32,8,,2,1,0,0,243488.0
22,23,15699309,Gerasimov,510.0,Spain,Female,38,4,,1,1,0,1,316819.0
23,24,15725737,Mosman,669.0,France,Male,0,3,,2,0,1,0,227500.0
24,25,15625047,Yen,846.0,France,Female,38,5,,1,1,1,0,128160.0
25,26,15738191,Maclean,577.0,France,Male,25,3,,2,0,1,0,269885.0
26,27,15736816,Young,756.0,Germany,Male,36,2,136815.64,1,1,1,0,188064.0
27,28,15700772,Nebechi,571.0,France,Male,44,9,,2,0,0,0,257330.0
28,29,15728693,McWilliams,574.0,Germany,Female,43,3,141349.43,1,1,1,0,118651.0
29,30,15656300,Lucciano,411.0,France,Male,29,0,59697.17,2,1,1,0,234272.0
30,31,15589475,Azikiwe,591.0,Spain,Female,39,3,,3,1,0,1,290502.0
31,32,15706552,Odinakachukwu,533.0,France,Male,0,7,85311.7,1,0,1,0,283474.0
